"Title","Date","Link","Description"
"پیام تبریک رئیس دانشگاه علامه‌طباطبائی به وزیر جدید علوم، تحقیقات و فناوری و تقدیر از دکتر محمدعلی زلفی‌گل","۰۳ شهریور ۱۴۰۳","https://atu.ac.ir/fa/news/26294/%D9%BE%DB%8C%D8%A7%D9%85-%D8%AA%D8%A8%D8%B1%DB%8C%DA%A9-%D8%B1%D8%A6%DB%8C%D8%B3-%D8%AF%D8%A7%D9%86%D8%B4%DA%AF%D8%A7%D9%87-%D8%B9%D9%84%D8%A7%D9%85%D9%87-%D8%B7%D8%A8%D8%A7%D8%B7%D8%A8%D8%A7%D8%A6%DB%8C-%D8%A8%D9%87-%D9%88%D8%B2%DB%8C%D8%B1-%D8%AC%D8%AF%DB%8C%D8%AF-%D8%B9%D9%84%D9%88%D9%85-%D8%AA%D8%AD%D9%82%DB%8C%D9%82%D8%A7%D8%AA-%D9%88-%D9%81%D9%86%D8%A7%D9%88%D8%B1%DB%8C-%D9%88-%D8%AA%D9%82%D8%AF%DB%8C%D8%B1-%D8%A7%D8%B2-%D8%AF%DA%A9%D8%AA%D8%B1-%D9%85%D8%AD%D9%85%D8%AF%D8%B9%D9%84%DB%8C-%D8%B2%D9%84%D9%81%DB%8C-%DA%AF%D9%84","رئیس دانشگاه علامه‌طباطبائی در پیامی با قدردانی از خدمات ارزنده دکتر محمدعلی زلفی‌گل، وزیر علوم پیشین، گفت: رای اعتماد مجلس شورای اسلامی به دکتر حسین سیمایی صراف با تخصص علوم انسانی، به عنوان وزیر جدید علوم، تحقیقات و فناوری، برای این دانشگاه بسیار امیدوارکننده است."
"پیام تسلیت روابط عمومی دانشگاه علامه‌طباطبائی در پی درگذشت هاشم سلیمی آشتیانی","۰۲ شهریور ۱۴۰۳","https://atu.ac.ir/fa/news/26293/%D9%BE%DB%8C%D8%A7%D9%85-%D8%AA%D8%B3%D9%84%DB%8C%D8%AA-%D8%B1%D9%88%D8%A7%D8%A8%D8%B7-%D8%B9%D9%85%D9%88%D9%85%DB%8C-%D8%AF%D8%A7%D9%86%D8%B4%DA%AF%D8%A7%D9%87-%D8%B9%D9%84%D8%A7%D9%85%D9%87-%D8%B7%D8%A8%D8%A7%D8%B7%D8%A8%D8%A7%D8%A6%DB%8C-%D8%AF%D8%B1-%D9%BE%DB%8C-%D8%AF%D8%B1%DA%AF%D8%B0%D8%B4%D8%AA-%D9%87%D8%A7%D8%B4%D9%85-%D8%B3%D9%84%DB%8C%D9%85%DB%8C-%D8%A2%D8%B4%D8%AA%DB%8C%D8%A7%D9%86%DB%8C","روابط عمومی دانشگاه علامه‌طباطبائی در پیامی درگذشت هاشم سلیمی آشتیانی، عضو هیئت مدیره بنیاد حامیان دانشگاه علامه‌طباطبائی و پیشکسوت فعالیت‌های خیرخواهانه و بشردوستانه کشور را تسلیت گفت."
"اربعین، کلید سعادت مسلمانان در جهان ظلم است","۳۱ مرداد ۱۴۰۳","https://atu.ac.ir/fa/news/26292/%D8%A7%D8%B1%D8%A8%D8%B9%DB%8C%D9%86-%DA%A9%D9%84%DB%8C%D8%AF-%D8%B3%D8%B9%D8%A7%D8%AF%D8%AA-%D9%85%D8%B3%D9%84%D9%85%D8%A7%D9%86%D8%A7%D9%86-%D8%AF%D8%B1-%D8%AC%D9%87%D8%A7%D9%86-%D8%B8%D9%84%D9%85-%D8%A7%D8%B3%D8%AA","سومین پیش نشست هفتمین همایش بین‌المللی اربعین با حضور استادان و پ‍ژوهشگران دانشگاه‌های علامه‌طباطبائی و سندیکای دانشگاهیان کربلا در محل سالن همایش‌های هتل یعسوب الدین برگزار شد."
"سومین پیش‌نشست هفتمین همایش بین‌المللی اربعین در کربلای معلی برگزار شد","۳۱ مرداد ۱۴۰۳","https://atu.ac.ir/fa/news/26289/%D8%B3%D9%88%D9%85%DB%8C%D9%86-%D9%BE%DB%8C%D8%B4-%D9%86%D8%B4%D8%B3%D8%AA-%D9%87%D9%81%D8%AA%D9%85%DB%8C%D9%86-%D9%87%D9%85%D8%A7%DB%8C%D8%B4-%D8%A8%DB%8C%D9%86-%D8%A7%D9%84%D9%85%D9%84%D9%84%DB%8C-%D8%A7%D8%B1%D8%A8%D8%B9%DB%8C%D9%86-%D8%AF%D8%B1-%DA%A9%D8%B1%D8%A8%D9%84%D8%A7%DB%8C-%D9%85%D8%B9%D9%84%DB%8C-%D8%A8%D8%B1%DA%AF%D8%B2%D8%A7%D8%B1-%D8%B4%D8%AF","سومین پیش‌نشست هفتمین همایش بین‌المللی اربعین با مشارکت علمی دانشگاه علامه‌طباطبائی و دانشگاه کربلا، در کربلای معلی برگزار شد."
"برگزاری نخستین نشست کارگروه تخصصی تهیه پیش‌نویس «سند نقشه جامع علوم انسانی، اجتماعی و هنر» در دانشگاه علامه‌طباطبائی","۲۸ مرداد ۱۴۰۳","https://atu.ac.ir/fa/news/26286/%D8%A8%D8%B1%DA%AF%D8%B2%D8%A7%D8%B1%DB%8C-%D9%86%D8%AE%D8%B3%D8%AA%DB%8C%D9%86-%D9%86%D8%B4%D8%B3%D8%AA-%DA%A9%D8%A7%D8%B1%DA%AF%D8%B1%D9%88%D9%87-%D8%AA%D8%AE%D8%B5%D8%B5%DB%8C-%D8%AA%D9%87%DB%8C%D9%87-%D9%BE%DB%8C%D8%B4-%D9%86%D9%88%DB%8C%D8%B3-%D8%B3%D9%86%D8%AF-%D9%86%D9%82%D8%B4%D9%87-%D8%AC%D8%A7%D9%85%D8%B9-%D8%B9%D9%84%D9%88%D9%85-%D8%A7%D9%86%D8%B3%D8%A7%D9%86%DB%8C-%D8%A7%D8%AC%D8%AA%D9%85%D8%A7%D8%B9%DB%8C-%D9%88-%D9%87%D9%86%D8%B1-%D8%AF%D8%B1-%D8%AF%D8%A7%D9%86%D8%B4%DA%AF%D8%A7%D9%87-%D8%B9%D9%84%D8%A7%D9%85%D9%87-%D8%B7%D8%A8%D8%A7%D8%B7%D8%A8%D8%A7%D8%A6%DB%8C","نخستین نشست کارگروه تخصصی ساماندهی و تهیه پیش‌نویس سند نقشه جامع علوم انسانی، اجتماعی و هنر در دانشگاه علامه‌طباطبائی برگزار شد."
"ویژه‌نامه شهید خدمت و اصحاب علوم انسانی","۲۷ مرداد ۱۴۰۳","https://atu.ac.ir/fa/news/26283/%D9%88%DB%8C%DA%98%D9%87-%D9%86%D8%A7%D9%85%D9%87-%D8%B4%D9%87%DB%8C%D8%AF-%D8%AE%D8%AF%D9%85%D8%AA-%D9%88-%D8%A7%D8%B5%D8%AD%D8%A7%D8%A8-%D8%B9%D9%84%D9%88%D9%85-%D8%A7%D9%86%D8%B3%D8%A7%D9%86%DB%8C","ویژه‌نامه شهید خدمت و اصحاب علوم انسانی به کوشش معاونت فرهنگی و اجتماعی دانشگاه علامه‌طباطبائی منتشر شد."
"ویدیو/ نگاهی به آنچه در آیین بزرگداشت «مقام استاد» و گردهمایی اعضای هیئت علمی دانشگاه علامه‌طباطبائی گذشت","۲۷ مرداد ۱۴۰۳","https://atu.ac.ir/fa/news/26282/%D9%88%DB%8C%D8%AF%DB%8C%D9%88-%D9%86%DA%AF%D8%A7%D9%87%DB%8C-%D8%A8%D9%87-%D8%A2%D9%86%DA%86%D9%87-%D8%AF%D8%B1-%D8%A2%DB%8C%DB%8C%D9%86-%D8%A8%D8%B2%D8%B1%DA%AF%D8%AF%D8%A7%D8%B4%D8%AA-%D9%85%D9%82%D8%A7%D9%85-%D8%A7%D8%B3%D8%AA%D8%A7%D8%AF-%D9%88-%DA%AF%D8%B1%D8%AF%D9%87%D9%85%D8%A7%DB%8C%DB%8C-%D8%A7%D8%B9%D8%B6%D8%A7%DB%8C-%D9%87%DB%8C%D8%A6%D8%AA-%D8%B9%D9%84%D9%85%DB%8C-%D8%AF%D8%A7%D9%86%D8%B4%DA%AF%D8%A7%D9%87-%D8%B9%D9%84%D8%A7%D9%85%D9%87-%D8%B7%D8%A8%D8%A7%D8%B7%D8%A8%D8%A7%D8%A6%DB%8C-%DA%AF%D8%B0%D8%B4%D8%AA","آیین بزرگداشت مقام استاد و معرفی استادان نمونه و سرآمد آموزشی دانشگاه علامه‌طباطبائی و گردهمایی خانوادگی اعضای هیئت علمی دانشگاه در ۲۰ اردیبهشت ماه ۱۴۰۳ برگزار شد که صحنه‌هایی از آن را مرور می‌کنیم."
"کسب عنوان معاونت دانشجویی برتر کشور توسط دانشگاه علامه‌طباطبائی","۲۷ مرداد ۱۴۰۳","https://atu.ac.ir/fa/news/26281/%DA%A9%D8%B3%D8%A8-%D8%B9%D9%86%D9%88%D8%A7%D9%86-%D9%85%D8%B9%D8%A7%D9%88%D9%86%D8%AA-%D8%AF%D8%A7%D9%86%D8%B4%D8%AC%D9%88%DB%8C%DB%8C-%D8%A8%D8%B1%D8%AA%D8%B1-%DA%A9%D8%B4%D9%88%D8%B1-%D8%AA%D9%88%D8%B3%D8%B7-%D8%AF%D8%A7%D9%86%D8%B4%DA%AF%D8%A7%D9%87-%D8%B9%D9%84%D8%A7%D9%85%D9%87-%D8%B7%D8%A8%D8%A7%D8%B7%D8%A8%D8%A7%D8%A6%DB%8C","سازمان امور دانشجویان وزارت علوم، تحقیقات و فناوری با ارزیابی معاونت‌های دانشجویی دانشگاه‌های دولتی کشور، معاونت دانشجویی دانشگاه علامه‌طباطبائی را به عنوان معاونت دانشجویی برتر در گروه دانشگاه‌های بزرگ معرفی کرد."
"محیط علمی دانشگاه برای پیشرفت کشور از حاشیه‌ها دور بماند","۲۲ مرداد ۱۴۰۳","https://atu.ac.ir/fa/news/26278/%D9%85%D8%AD%DB%8C%D8%B7-%D8%B9%D9%84%D9%85%DB%8C-%D8%AF%D8%A7%D9%86%D8%B4%DA%AF%D8%A7%D9%87-%D8%A8%D8%B1%D8%A7%DB%8C-%D9%BE%DB%8C%D8%B4%D8%B1%D9%81%D8%AA-%DA%A9%D8%B4%D9%88%D8%B1-%D8%A7%D8%B2-%D8%AD%D8%A7%D8%B4%DB%8C%D9%87-%D9%87%D8%A7-%D8%AF%D9%88%D8%B1-%D8%A8%D9%85%D8%A7%D9%86%D8%AF","رئیس دانشگاه علامه‌طباطبائی، دوری از حاشیه‌ها و جلوگیری از تبدیل محیط علمی دانشگاه به پایگاه احزاب سیاسی را از دغدغه‌ها و خواسته‌های جدی دانشگاهیان از وزیر علوم آینده عنوان کرد."
"اعلام آمادگی دانشگاه علامه‌طباطبائی برای پذیرش بدون کنکور مدال‌آوران المپیک ۲۰۲۴","۲۱ مرداد ۱۴۰۳","https://atu.ac.ir/fa/news/26277/%D8%A7%D8%B9%D9%84%D8%A7%D9%85-%D8%A2%D9%85%D8%A7%D8%AF%DA%AF%DB%8C-%D8%AF%D8%A7%D9%86%D8%B4%DA%AF%D8%A7%D9%87-%D8%B9%D9%84%D8%A7%D9%85%D9%87-%D8%B7%D8%A8%D8%A7%D8%B7%D8%A8%D8%A7%D8%A6%DB%8C-%D8%A8%D8%B1%D8%A7%DB%8C-%D9%BE%D8%B0%DB%8C%D8%B1%D8%B4-%D8%A8%D8%AF%D9%88%D9%86-%DA%A9%D9%86%DA%A9%D9%88%D8%B1-%D9%85%D8%AF%D8%A7%D9%84-%D8%A2%D9%88%D8%B1%D8%A7%D9%86-%D8%A7%D9%84%D9%85%D9%BE%DB%8C%DA%A9-%DB%B2%DB%B0%DB%B2%DB%B4","دانشگاه علامه‌طباطبائی مدال‌آوران المپیک ۲۰۲۴ را بدون کنکور پذیرش می‌کند."
