,Code,Name,Gender,Age,NOC,Country,Discipline,Sport,Event,Rank,Medal,year
1,1346266,AALERUD Katrine,Female,26,NOR,Norway,CRD,Cycling Road,Women's Road Race,37,NA,2020
2,1346266,AALERUD Katrine,Female,26,NOR,Norway,CRD,Cycling Road,Women's Individual Time Trial,20,NA,2020
3,1355250,ABAD Nestor,Male,28,ESP,Spain,GAR,Artistic Gymnastics,Men's All-Around,NA,NA,2020
4,1355250,ABAD Nestor,Male,28,ESP,Spain,GAR,Artistic Gymnastics,Men's Floor Exercise,NA,NA,2020
5,1355250,ABAD Nestor,Male,28,ESP,Spain,GAR,Artistic Gymnastics,Men's Pommel Horse,NA,NA,2020
6,1355250,ABAD Nestor,Male,28,ESP,Spain,GAR,Artistic Gymnastics,Men's Rings,NA,NA,2020
7,1355250,ABAD Nestor,Male,28,ESP,Spain,GAR,Artistic Gymnastics,Men's Vault,NA,NA,2020
8,1355250,ABAD Nestor,Male,28,ESP,Spain,GAR,Artistic Gymnastics,Men's Parallel Bars,NA,NA,2020
9,1355250,ABAD Nestor,Male,28,ESP,Spain,GAR,Artistic Gymnastics,Men's Horizontal Bar,NA,NA,2020
10,1355250,ABAD Nestor,Male,28,ESP,Spain,GAR,Artistic Gymnastics,Men's Team,NA,NA,2020
11,1321381,ABAGNALE Giovanni,Male,26,ITA,Italy,ROW,Rowing,Men's Pair Team,11,NA,2020
12,1322233,ABALDE Alberto,Male,25,ESP,Spain,BKB,Basketball,Men Team,6,NA,2020
13,1322271,ABALDE Tamara,Female,32,ESP,Spain,BKB,Basketball,Women Team,6,NA,2020
14,1350409,ABALO Luc,Male,36,FRA,France,HBL,Handball,Men Team,1,Gold,2020
15,1309960,ABAROA Cesar,Male,24,CHI,Chile,ROW,Rowing,Lightweight Men's Double Sculls Team,14,NA,2020
16,1344792,ABASS Abobakr,Male,22,SUD,Sudan,SWM,Swimming,Men's 100m Breaststroke,NA,NA,2020
17,1331787,ABBAGNALE Vincenzo,Male,28,ITA,Italy,ROW,Rowing,Men's Pair Team,11,NA,2020
18,1284763,ABBASALI Hamideh,Female,31,IRI,Iran,KTE,Karate,Women's Kumite +61kg,7,NA,2020
19,1433032,ABBASOV Islam,Male,25,AZE,Azerbaijan,WRE,Wrestling,Men's Greco-Roman 87kg,13,NA,2020
20,1456949,ABBINGH Lois,Female,28,NED,Netherlands,HBL,Handball,Women Team,5,NA,2020
21,1349883,ABBOT Emily,Female,24,AUS,Australia,GRY,Rhythmic Gymnastics,Group All-Around Team,NA,NA,2020
22,1310126,ABBOTT Monica,Female,36,USA,United States,BSB,Baseball/Softball,Softball Team,2,Silver,2020
23,1328854,ABDALLA Abubaker Haydar,Male,24,QAT,Qatar,ATH,Athletics,Men's 800m,NA,NA,2020
24,1898618,ABDALRASOOL Mohamed,Male,28,SUD,Sudan,JUD,Judo,Men -73 kg,NA,NA,2020
25,1306332,ABDEL LATIF Radwa,Female,31,EGY,Egypt,SHO,Shooting,10m Air Pistol Women,40,NA,2020
26,1306332,ABDEL LATIF Radwa,Female,31,EGY,Egypt,SHO,Shooting,10m Air Pistol Mixed Team,18,NA,2020
27,1306339,ABDEL RAZEK Samy,Male,41,EGY,Egypt,SHO,Shooting,10m Air Pistol Men,31,NA,2020
28,1306339,ABDEL RAZEK Samy,Male,41,EGY,Egypt,SHO,Shooting,10m Air Pistol Mixed Team,18,NA,2020
29,1301765,ABDELAAL Mohamed,Male,31,EGY,Egypt,JUD,Judo,Men -81 kg,17,NA,2020
